L_accx_1,L_accy_1,L_accz_1,L_accx_2,L_accy_2,L_accz_2,L_accx_3,L_accy_3,L_accz_3,L_accx_4,L_accy_4,L_accz_4,L_accx_5,L_accy_5,L_accz_5,R_accx_1,R_accy_1,R_accz_1,R_accx_2,R_accy_2,R_accz_2,R_accx_3,R_accy_3,R_accz_3,R_accx_4,R_accy_4,R_accz_4,R_accx_5,R_accy_5,R_accz_5,Label
1359,90,1670,224,666,5372,-417,250,3512,-335,-20,2991,-529,507,2209,-16218,-3164,-8838,-5794,1165,2680,-1515,-1039,1085,13,492,191,420,-16,-113,0
4021,-3358,3774,1305,-1337,5398,-217,186,3116,-221,-12,2640,-155,45,2395,-5458,648,3908,-1360,-322,1784,119,-33,321,541,52,-60,561,-76,-126,0
3859,2115,-1813,1197,1708,7502,700,-552,4184,-237,36,2848,-413,288,2448,-8548,-3649,1573,-1452,1962,2235,-262,-424,671,481,250,122,733,181,-138,0
1185,-554,2269,1054,428,6150,257,-89,3611,-64,-29,2800,-349,212,2539,-13738,-2085,-9871,-3291,1242,4788,-518,135,1096,224,-62,181,820,193,-160,0
4272,-1499,4781,1612,-415,4815,427,104,3124,241,0,2708,-121,476,2324,11697,-805,24973,-512,-173,1367,646,222,-105,557,40,-127,652,-5,-140,0
4663,-2120,4282,77,7,3149,-155,153,2561,87,129,2131,-276,139,2287,-10671,-841,-7378,-877,-98,1718,555,126,-17,552,77,-171,782,-136,-44,0
3605,-2799,4526,-200,-30,3106,-10,246,2568,-10,417,2154,-632,301,2243,-15004,-2545,-7345,-615,1455,2032,363,-45,54,627,28,-197,1007,50,56,0
2029,-1695,2397,1128,788,6984,67,213,3561,-27,101,2753,-272,385,2291,-12758,-901,-9128,-4292,-2164,4113,-709,11,1522,159,-58,231,755,-155,-75,0
4724,-3239,4425,2121,-1079,4797,224,165,3036,32,181,2532,-181,347,2286,-5421,-2659,-1182,-2563,3135,4327,-227,-174,870,545,-67,30,785,6,-132,0
2914,531,-830,1641,1187,7056,352,-131,3818,-129,140,2898,-324,370,2342,-5028,-4780,2143,-783,1510,2340,151,-3,496,578,9,-37,868,-121,-72,0
4994,-3696,5183,1915,-1392,5376,334,-117,3133,184,-235,2656,-188,109,2442,-7064,-4756,-265,-1849,1865,3194,-78,-214,654,563,-61,7,749,-73,-138,0
